================================================================================
TOP 50 CUDA OPERATIONS (by total GPU time)
================================================================================
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
enumerate(DataLoader)#_SingleProcessDataLoaderIter._...        33.12%       11.947s        59.86%       21.592s        4.318s     990.89 Mb      -1.15 Gb           0 b           0 b             5  
                                              aten::eye         0.05%      19.421ms         0.11%      38.208ms      39.512us      37.84 Kb       4.62 Kb           0 b           0 b           967  
                                            aten::empty         0.41%     146.624ms         0.41%     146.624ms       9.947us     622.54 Mb     622.54 Mb      80.84 Gb      80.84 Gb         14740  
                                          aten::resize_         0.05%      17.463ms         0.05%      17.463ms       8.815us       7.56 Mb       7.56 Mb     734.00 Mb     734.00 Mb          1981  
                                            aten::zero_         0.03%      11.783ms         1.32%     475.311ms     197.635us           0 b           0 b           0 b           0 b          2405  
                                            aten::zeros         0.05%      16.239ms         1.37%     494.084ms     346.726us     495.00 Mb           0 b       3.17 Gb           0 b          1425  
                                             aten::mul_         0.04%      15.616ms         0.08%      30.154ms     107.693us           0 b        -972 b           0 b           0 b           280  
                                               aten::to         0.07%      26.705ms        27.14%        9.789s       1.042ms     509.02 Mb     453.58 Kb       1.70 Gb       2.40 Mb          9395  
                                         aten::_to_copy         0.21%      76.751ms        27.07%        9.765s       1.509ms     509.02 Mb          68 b       1.70 Gb           0 b          6470  
                                    aten::empty_strided         0.18%      66.143ms         0.18%      66.143ms       8.252us     513.22 Mb     513.22 Mb       3.09 Gb       3.09 Gb          8015  
                                            aten::copy_        27.40%        9.884s        27.57%        9.944s     776.237us           0 b    -124.02 Mb           0 b           0 b         12810  
                                       aten::lift_fresh         0.01%       1.910ms         0.01%       1.910ms       1.088us           0 b           0 b           0 b           0 b          1755  
                                             aten::sub_         0.01%       3.739ms         0.01%       3.739ms      15.579us           0 b           0 b           0 b           0 b           240  
                                              aten::div         2.06%     744.809ms         2.14%     771.154ms     255.349us     135.31 Mb     135.30 Mb       2.23 Gb       2.23 Gb          3020  
